Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
90,-0.210387,-2.4925,-3.79553,1.15672,1404.68,-25.9068,11.4228,1403.95,290.498,0,0,0.00120473,0.0001817,-0.05346,1.4073,-0.0488259,1.41301,0,0,1.01E+06,1.01E+06,0.116556,0.0423968
91,-0.204635,-2.49219,-3.80442,1.1673,1415.95,-25.6433,8.88293,1415.26,276.357,0,0,0.00120473,0.0001817,-0.0554307,1.42394,-0.0528277,1.42945,0,0,1.01E+06,1.01E+06,0.116896,0.0427371
92,-0.198882,-2.49189,-3.8133,1.17789,1427.23,-25.3798,6.34309,1426.57,262.216,0,0,0.00120473,0.0001817,-0.0574015,1.44058,-0.0568294,1.44589,0,0,1.01E+06,1.01E+06,0.117236,0.0430774
93,-0.19313,-2.49159,-3.82218,1.18848,1438.5,-25.1163,3.80325,1437.88,248.076,0,0,0.00120473,0.0001817,-0.0593722,1.45722,-0.0608312,1.46233,0,0,1.01E+06,1.01E+06,0.117576,0.0434177
94,-0.187377,-2.49128,-3.83107,1.19906,1449.65,-24.8479,1.2625,1449.07,233.945,0,0,0.00120473,0.0001817,-0.0613454,1.47393,-0.0648122,1.47884,0,0,1.01E+06,1.01E+06,0.117906,0.0437542
95,-0.181625,-2.49098,-3.83995,1.20965,1427.2,-23.2524,-1.53082,1426.67,222.37,0,0,0.00120473,0.0001817,-0.0640043,1.50991,-0.0632652,1.51501,0,0,1.01E+06,1.01E+06,0.115393,0.0430766
96,-0.175872,-2.49067,-3.84883,1.22024,1404.75,-21.6569,-4.32413,1404.28,210.795,0,0,0.00120473,0.0001817,-0.0666632,1.54589,-0.0617182,1.55118,0,0,1.01E+06,1.01E+06,0.11288,0.042399
97,-0.17012,-2.49037,-3.85771,1.23083,1382.3,-20.0614,-7.11745,1381.88,199.219,0,0,0.00120473,0.0001817,-0.069322,1.58187,-0.0601713,1.58735,0,0,1.01E+06,1.01E+06,0.110367,0.0417214
98,-0.164367,-2.49007,-3.8666,1.24141,1359.85,-18.4659,-9.91077,1359.48,187.644,0,0,0.00120473,0.0001817,-0.0719809,1.61786,-0.0586243,1.62352,0,0,1.01E+06,1.01E+06,0.107855,0.0410438
99,-0.158615,-2.48976,-3.87548,1.252,1337.4,-16.8705,-12.704,1337.09,176.069,0,0,0.00120473,0.0001817,-0.0746397,1.65384,-0.0570777,1.65969,0,0,1.01E+06,1.01E+06,0.105342,0.0403662
100,-0.152862,-2.48946,-3.88436,1.26259,1314.95,-15.275,-15.4974,1314.69,164.494,0,0,0.00120473,0.0001817,-0.0772985,1.68982,-0.0555307,1.69586,0,0,1.01E+06,1.01E+06,0.102829,0.0396886
101,-0.14711,-2.48916,-3.89325,1.27318,1316.17,-15.2251,-18.8723,1315.85,157.178,0,0,0.00120473,0.0001817,-0.0771908,1.71313,-0.051532,1.71868,0,0,1.01E+06,1.01E+06,0.102934,0.0397255
102,-0.140591,-2.4889,-3.89471,1.27986,1327.7,-15.2976,-20.3328,1327.35,158.748,0,0,0.00120473,0.0001817,-0.0748151,1.71733,-0.0480949,1.72249,0,0,1.01E+06,1.01E+06,0.103958,0.0400734
103,-0.134072,-2.48864,-3.89618,1.28655,1352.2,-15.7267,-22.2825,1351.82,160.225,0,0,0.00120473,0.0001817,-0.0710647,1.70853,-0.0435021,1.71317,0,0,1.01E+06,1.01E+06,0.106692,0.040813
104,-0.127553,-2.48839,-3.89765,1.29324,1376.71,-16.1558,-24.2323,1376.29,161.701,0,0,0.00120473,0.0001817,-0.0673142,1.69974,-0.0389091,1.70385,0,0,1.01E+06,1.01E+06,0.109427,0.0415527
105,-0.121035,-2.48813,-3.89912,1.29992,1401.22,-16.5849,-26.1821,1400.76,163.178,0,0,0.00120473,0.0001817,-0.0635638,1.69094,-0.0343163,1.69453,0,0,1.01E+06,1.01E+06,0.112161,0.0422924
106,-0.114516,-2.48788,-3.90059,1.30661,1425.73,-17.014,-28.1319,1425.23,164.655,0,0,0.00120473,0.0001817,-0.0598133,1.68214,-0.0297233,1.68521,0,0,1.01E+06,1.01E+06,0.114896,0.0430321
107,-0.107997,-2.48762,-3.90206,1.3133,1450.23,-17.4431,-30.0818,1449.7,166.131,0,0,0.00120473,0.0001817,-0.0560628,1.67334,-0.0251303,1.67589,0,0,1.01E+06,1.01E+06,0.11763,0.0437718
108,-0.101478,-2.48736,-3.90353,1.31999,1474.74,-17.8722,-32.0315,1474.17,167.608,0,0,0.00120473,0.0001817,-0.0523124,1.66454,-0.0205375,1.66657,0,0,1.01E+06,1.01E+06,0.120364,0.0445115
109,-0.0949594,-2.48711,-3.905,1.32667,1499.25,-18.3013,-33.9814,1498.64,169.084,0,0,0.00120473,0.0001817,-0.0485619,1.65574,-0.0159445,1.65725,0,0,1.01E+06,1.01E+06,0.123099,0.0452512
110,-0.0884406,-2.48685,-3.90647,1.33336,1513.33,-18.7882,-35.298,1512.69,169.792,0,0,0.00120473,0.0001817,-0.0448861,1.6445,-0.0127459,1.64567,0,0,1.01E+06,1.01E+06,0.125094,0.0456763
111,-0.0819218,-2.4866,-3.90794,1.34005,1513.28,-19.3537,-35.7565,1512.6,169.455,0,0,0.00120473,0.0001817,-0.0413112,1.62994,-0.0114374,1.631,0,0,1.01E+06,1.01E+06,0.126086,0.0456748
112,-0.075403,-2.48634,-3.90941,1.34673,1513.23,-19.9191,-36.215,1512.5,169.119,0,0,0.00120473,0.0001817,-0.0377364,1.61538,-0.0101289,1.61634,0,0,1.01E+06,1.01E+06,0.127079,0.0456733
113,-0.0688842,-2.48609,-3.91087,1.35342,1513.19,-20.4845,-36.6735,1512.41,168.783,0,0,0.00120473,0.0001817,-0.0341616,1.60082,-0.00882045,1.60168,0,0,1.01E+06,1.01E+06,0.128071,0.0456719
114,-0.0623654,-2.48583,-3.91234,1.36011,1513.14,-21.05,-37.132,1512.32,168.446,0,0,0.00120473,0.0001817,-0.0305868,1.58626,-0.00751197,1.58701,0,0,1.01E+06,1.01E+06,0.129064,0.0456704
115,-0.0558466,-2.48557,-3.91381,1.3668,1513.09,-21.6154,-37.5904,1512.23,168.11,0,0,0.00120473,0.0001817,-0.027012,1.5717,-0.00620348,1.57235,0,0,1.01E+06,1.01E+06,0.130056,0.0456689
116,-0.0493278,-2.48532,-3.91528,1.37348,1513.04,-22.1808,-38.0489,1512.14,167.774,0,0,0.00120473,0.0001817,-0.0234371,1.55714,-0.004895,1.55769,0,0,1.01E+06,1.02E+06,0.131049,0.0456675
117,-0.042809,-2.48506,-3.91675,1.38017,1512.99,-22.7462,-38.5074,1512.04,167.438,0,0,0.00120473,0.0001817,-0.0198623,1.54259,-0.00358652,1.54302,0,0,1.01E+06,1.02E+06,0.132041,0.045666
118,-0.0362902,-2.48481,-3.91822,1.38686,1520.1,-21.6511,-37.9706,1519.19,167.755,0,0,0.00120473,0.0001817,-0.0177524,1.52038,-0.000906791,1.52074,0,0,1.01E+06,1.02E+06,0.133344,0.0458805
119,-0.0297714,-2.48455,-3.91969,1.39354,1528.49,-20.2576,-37.255,1527.63,168.189,0,0,0.00120473,0.0001817,-0.0159056,1.49679,0.00201932,1.49709,0,0,1.01E+06,1.02E+06,0.134703,0.0461339
120,-0.0232526,-2.48429,-3.92116,1.40023,1536.89,-18.8641,-36.5393,1536.07,168.623,0,0,0.00120473,0.0001817,-0.0140588,1.47321,0.0049454,1.47344,0,0,1.01E+06,1.02E+06,0.136061,0.0463872
121,-0.0167338,-2.48404,-3.92263,1.40692,1545.28,-17.4706,-35.8237,1544.52,169.057,0,0,0.00120473,0.0001817,-0.012212,1.44963,0.00787151,1.44979,0,0,1.01E+06,1.02E+06,0.13742,0.0466406
,,,,,,,,,40.08045537,,,,,,,,,,,,,,
